Title,Author,Publisher,Info Link,Published Date,Cover Image URL
会津に伝わるむかし話 : 民話伝説集,"逢澤, 紀孝, 1938-,逢澤紀孝 著",歴史春秋出版,https://ndlsearch.ndl.go.jp/books/R100000002-I026566865,2015,https://ndlsearch.ndl.go.jp/thumbnail/978-4-89757-857-6
会津猫魔怨霊殺人 : 長編伝奇推理,"生田, 直親, 1929-1993,生田直親 著",天山出版,https://ndlsearch.ndl.go.jp/books/R100000002-I000001940321,1988,https://ndlsearch.ndl.go.jp/thumbnail/4-8033-1430-6
会津の昔ばなし,"半・ろくさん,司/大輔,半・ろくさん 文,司大輔 編集",丸長(発売),https://ndlsearch.ndl.go.jp/books/R100000001-I2711B14218695,1900,https://ndlsearch.ndl.go.jp/thumbnail/22201731
会津の昔話と伝説 ふるさと会津こころの記憶,"",福島県会津地方振興局,https://ndlsearch.ndl.go.jp/books/R100000002-I000011167035,2011,https://ndlsearch.ndl.go.jp/thumbnail/000011167035
会津のむかしばなし,"前田, 智子, pub. 2021,菊地, 悦子, pub.2021,鶴賀, イチ, 1950-,前田智子, 菊地悦子, 鶴賀イチ 著",歴史春秋出版,https://ndlsearch.ndl.go.jp/books/R100000002-I031531927,2021,https://ndlsearch.ndl.go.jp/thumbnail/978-4-89757-988-7
会津物語,"赤坂, 憲雄, 1953-,会津学研究会,赤坂憲雄, 会津学研究会 編著",朝日新聞出版,https://ndlsearch.ndl.go.jp/books/R100000002-I026613259,2015,https://ndlsearch.ndl.go.jp/thumbnail/978-4-02-251263-5
愛婿通信,"辰野九紫,辰野九紫 著",南方書院,https://ndlsearch.ndl.go.jp/books/R100000001-I31111100322827,1931,
愛染桜花地獄 : 三毛猫先生事件帖,"風間, 九郎, 1961-,風間九郎 [著]",学習研究社,https://ndlsearch.ndl.go.jp/books/R100000002-I000008540013,2007,https://ndlsearch.ndl.go.jp/thumbnail/978-4-05-900477-6
愛染天使,"藤原, 審爾, 1921-1984,藤原審爾 著",小壷天書房,https://ndlsearch.ndl.go.jp/books/R100000002-I000000980665,1958,https://ndlsearch.ndl.go.jp/thumbnail/000000980665
アイソトープCl36による汗腺分泌過程ならびに猫足蹠面における精神性発汗の研究,"田口 元二,田口 元二",,https://ndlsearch.ndl.go.jp/books/R000000004-I10014710,,https://ndlsearch.ndl.go.jp/thumbnail/10014710
